project_id,project_location,geographic_location,tower_type,budget_crore_inr,project_duration_months,seasonality_factor,material_id,material_unit_price_inr,material_lead_time_days,supplier_reliability_score,service_level_requirement_pct,inventory_holding_cost_pct,transportation_cost_pct,market_price_volatility,resource_availability,supply_chain_disruption_risk,historical_demand_variation_pct,total_demand_quantity,safety_stock,reorder_point,eoq,optimal_order_frequency_days,total_supply_chain_cost_inr
23,Ahmedabad,Urban,Angle,705,18,Dry,Conductor_KM,215800,25,0.98,0.9,0.18,0.03,Low,High,3,0.16,398,21,152,71,21,86599003
24,Bhubaneswar,Rural,Angle,1120,21,Monsoon,Insulators_Units,1250,34,0.94,0.95,0.22,0.06,Low,High,5,0.21,40487,1285,5429,4515,21,53658421
25,Aizawl,Hilly,Dead-End,1411,34,Monsoon,Steel_Tons,80510,62,0.86,0.99,0.27,0.11,High,Low,9,0.33,6520,701,2002,328,21,545436160
26,Surat,Urban,Tangent,290,11,Dry,Conductor_KM,208330,18,0.99,0.9,0.18,0.02,Low,High,2,0.15,144,8,35,36,26,30742370
27,Varanasi,Rural,Tangent,456,13,Winter,Insulators_Units,1160,26,0.97,0.9,0.21,0.05,Low,High,4,0.2,12062,458,1363,2546,20,14808116
28,Darjeeling,Hilly,Angle,1245,31,Monsoon,Steel_Tons,79680,60,0.87,0.99,0.25,0.1,High,Medium,9,0.3,4350,400,1235,260,22,359692286
29,Chandigarh,Urban,Dead-End,747,14,Winter,Conductor_KM,216630,24,0.99,0.95,0.19,0.02,Medium,High,2,0.18,705,53,228,116,25,157208972
30,Jodhpur,Rural,Angle,954,18,Dry,Insulators_Units,1250,30,0.95,0.95,0.22,0.05,Low,High,4,0.2,34637,1008,3856,4159,21,45934192
31,Nainital,Hilly,Tangent,1037,27,Winter,Steel_Tons,75530,48,0.91,0.95,0.23,0.08,Medium,Medium,6,0.26,3675,229,881,234,22,288368560
32,Indore,Urban,Angle,581,15,Dry,Conductor_KM,210820,20,0.97,0.9,0.18,0.03,Low,High,3,0.15,326,15,98,62,21,70019715
33,Gaya,Rural,Dead-End,1494,19,Winter,Insulators_Units,1328,33,0.94,0.99,0.24,0.05,Medium,High,4,0.21,87500,3444,8453,7671,18,121015909
34,Mussoorie,Hilly,Angle,1203,30,Winter,Steel_Tons,79000,58,0.88,0.99,0.25,0.1,High,Medium,8,0.31,4215,394,1202,254,22,347104091
35,Kochi,Urban,Tangent,249,10,Monsoon,Conductor_KM,207500,15,0.99,0.9,0.18,0.04,Medium,High,3,0.14,122,5,24,34,29,26056688
36,Agra,Rural,Angle,913,17,Dry,Insulators_Units,1250,28,0.96,0.95,0.22,0.05,Low,High,4,0.2,33175,946,3585,4046,21,44005106
37,Shillong,Hilly,Dead-End,1452,35,Monsoon,Steel_Tons,81340,65,0.85,0.99,0.27,0.11,High,Low,10,0.34,6700,742,2138,338,21,568015225
38,Coimbatore,Urban,Angle,539,14,Monsoon,Conductor_KM,210000,18,0.98,0.9,0.18,0.03,Low,High,3,0.15,302,14,74,59,22,64663889
39,Allahabad,Rural,Tangent,415,12,Dry,Insulators_Units,1160,25,0.97,0.9,0.21,0.05,Low,High,4,0.2,10875,400,1133,2425,21,13388318
40,Ooty,Hilly,Tangent,996,26,Monsoon,Steel_Tons,75000,45,0.92,0.95,0.2,0.08,Medium,Medium,7,0.25,3540,176,825,233,22,272145297
41,Visakhapatnam,Urban,Dead-End,705,13,Dry,Conductor_KM,215000,22,0.99,0.95,0.19,0.02,Medium,High,2,0.18,667,49,198,111,25,148148194
42,Madurai,Rural,Angle,871,16,Dry,Insulators_Units,1250,27,0.96,0.95,0.22,0.05,Low,High,4,0.2,31712,886,3269,3959,21,42067803
43,Kodaikanal,Hilly,Angle,1162,29,Monsoon,Steel_Tons,78020,55,0.89,0.99,0.25,0.1,High,Medium,8,0.31,4080,375,1144,250,22,335880741
44,Mysore,Urban,Tangent,207,9,Dry,Conductor_KM,208330,12,0.99,0.9,0.18,0.03,Low,High,2,0.14,100,4,17,30,31,21500984
45,Puri,Rural,Dead-End,1369,18,Monsoon,Insulators_Units,1328,30,0.95,0.99,0.24,0.06,Medium,High,5,0.22,80375,3063,7361,7497,18,111528677
46,Munnar,Hilly,Tangent,954,25,Monsoon,Steel_Tons,73870,42,0.93,0.95,0.2,0.08,Medium,Medium,6,0.24,3405,160,760,229,23,259279301
47,Vijayawada,Urban,Angle,498,13,Dry,Conductor_KM,209160,16,0.98,0.9,0.18,0.03,Low,High,3,0.15,278,12,60,56,23,59308603
48,Tirupati,Rural,Angle,830,15,Dry,Insulators_Units,1250,26,0.96,0.95,0.22,0.05,Low,High,4,0.2,30250,828,2955,3865,21,40134401
49,Itanagar,Hilly,Dead-End,1328,32,Monsoon,Steel_Tons,79680,60,0.87,0.99,0.26,0.11,High,Low,9,0.33,6060,650,1790,316,21,503861792
50,Goa,Urban,Tangent,166,8,Monsoon,Conductor_KM,207500,10,0.99,0.9,0.18,0.04,Low,High,3,0.13,78,2,9,28,37,16779131
51,Guntur,Rural,Tangent,373,11,Dry,Insulators_Units,1160,24,0.97,0.9,0.21,0.05,Low,High,4,0.2,9687,346,953,2284,21,11945692
52,Dalhousie,Hilly,Angle,1120,28,Winter,Steel_Tons,77190,52,0.9,0.99,0.25,0.09,High,Medium,8,0.3,3945,354,1073,248,22,321261958
53,Pondicherry,Urban,Dead-End,664,12,Monsoon,Conductor_KM,214140,20,0.99,0.95,0.19,0.02,Medium,High,2,0.17,630,44,149,108,26,139217560
54,Warangal,Rural,Angle,788,14,Dry,Insulators_Units,1250,25,0.96,0.95,0.22,0.05,Low,High,4,0.2,28787,775,2775,3770,22,38165724
55,Lonavla,Hilly,Tangent,913,24,Monsoon,Steel_Tons,73040,40,0.94,0.95,0.2,0.07,Medium,High,5,0.23,3270,147,681,225,24,245298077
56,Aurangabad,Urban,Angle,456,12,Dry,Conductor_KM,208330,14,0.98,0.9,0.18,0.03,Low,High,3,0.14,254,10,50,53,24,53990919
57,Bikaner,Rural,Dead-End,1286,17,Dry,Insulators_Units,1328,28,0.95,0.99,0.24,0.06,Medium,High,5,0.22,75625,2808,6883,7233,18,105079162
58,Mahabaleshwar,Hilly,Angle,1079,27,Monsoon,Steel_Tons,76500,50,0.91,0.99,0.25,0.09,High,Medium,7,0.3,3810,332,1022,243,22,308102348
59,Vadodara,Urban,Tangent,274,10,Dry,Conductor_KM,207500,15,0.99,0.9,0.18,0.02,Low,High,2,0.14,135,6,26,35,27,28833453
60,Udaipur,Rural,Angle,747,13,Winter,Insulators_Units,1250,24,0.96,0.95,0.22,0.05,Low,High,4,0.2,26325,699,2451,3607,22,34914199
61,Dharamshala,Hilly,Dead-End,1245,30,Monsoon,Steel_Tons,79000,58,0.88,0.99,0.26,0.1,High,Medium,9,0.32,5700,583,1633,303,21,467738034
62,Amritsar,Urban,Dead-End,871,16,Winter,Conductor_KM,217460,26,0.98,0.95,0.19,0.02,High,High,3,0.18,817,63,300,125,24,182434000
63,Haridwar,Rural,Tangent,581,15,Winter,Insulators_Units,1160,29,0.97,0.9,0.21,0.06,Low,High,4,0.21,15625,618,2068,2896,20,19018703
64,Pelling,Hilly,Tangent,1203,31,Winter,Steel_Tons,78020,59,0.89,0.95,0.24,0.1,Medium,Low,8,0.3,4188,329,1223,244,21,340398604
65,Kanpur,Urban,Angle,747,18,Winter,Conductor_KM,215800,25,0.98,0.9,0.18,0.03,Low,High,3,0.16,422,22,160,73,21,91814826
66,Dhanbad,Rural,Dead-End,1643,21,Dry,Insulators_Units,1328,36,0.94,0.99,0.24,0.05,Medium,High,4,0.21,96050,3985,9921,8001,17,132714433
67,Ziro,Hilly,Angle,1411,34,Monsoon,Steel_Tons,80510,64,0.86,0.99,0.27,0.11,High,Low,10,0.33,4990,547,1503,281,21,430487385
68,Jamshedpur,Urban,Tangent,431,14,Monsoon,Conductor_KM,210000,22,0.99,0.9,0.19,0.02,Medium,High,2,0.17,218,12,82,47,24,46935836
69,Bodh Gaya,Rural,Angle,1162,22,Winter,Insulators_Units,1250,35,0.94,0.95,0.22,0.06,Low,High,5,0.21,41950,1352,5720,4598,21,55592487
70,Bomdila,Hilly,Dead-End,1510,35,Winter,Steel_Tons,82170,68,0.84,0.99,0.28,0.12,High,Low,10,0.34,6952,785,2241,348,21,592986445
71,Rajkot,Urban,Angle,730,18,Dry,Conductor_KM,214140,25,0.98,0.9,0.18,0.03,Medium,High,2,0.16,412,21,157,72,21,89587378
72,Siliguri,Rural,Tangent,564,15,Monsoon,Insulators_Units,1160,28,0.96,0.9,0.21,0.06,Medium,Medium,5,0.22,15150,599,1965,2835,20,18445754
73,Kalimpong,Hilly,Tangent,1145,29,Monsoon,Steel_Tons,77190,54,0.9,0.95,0.23,0.09,Medium,Low,7,0.28,4026,289,1055,244,21,322270179
74,Thiruvananthapuram,Urban,Dead-End,846,16,Monsoon,Conductor_KM,217460,26,0.98,0.95,0.19,0.02,High,High,3,0.18,800,62,294,124,24,178810000
75,Hampi,Rural,Angle,1095,21,Dry,Insulators_Units,1250,34,0.94,0.95,0.22,0.06,Low,High,5,0.21,39610,1258,5297,4469,21,52491026
76,Pahalgam,Hilly,Angle,1394,33,Winter,Steel_Tons,81340,67,0.85,0.99,0.26,0.11,High,Low,10,0.32,4936,532,1467,266,21,422414722
77,Nashik,Urban,Tangent,398,13,Monsoon,Conductor_KM,209160,21,0.99,0.9,0.19,0.02,Medium,High,2,0.17,201,11,66,45,25,43118666
78,Khajuraho,Rural,Dead-End,1701,22,Winter,Insulators_Units,1328,38,0.93,0.99,0.24,0.05,Medium,High,4,0.21,97375,4213,10603,8127,17,134536443
79,Yuksom,Hilly,Tangent,1178,30,Monsoon,Steel_Tons,78020,57,0.89,0.95,0.24,0.1,Medium,Low,8,0.3,4134,321,1199,242,21,335833521
80,Kolhapur,Urban,Angle,680,17,Monsoon,Conductor_KM,214140,24,0.98,0.9,0.18,0.03,Medium,High,2,0.16,383,19,142,69,21,83422138
81,Pushkar,Rural,Angle,1145,22,Winter,Insulators_Units,1250,35,0.94,0.95,0.22,0.06,Low,High,5,0.21,41365,1328,5611,4566,21,54820000
82,Lachung,Hilly,Dead-End,1427,34,Winter,Steel_Tons,80510,63,0.86,0.99,0.27,0.11,High,Low,10,0.33,6592,713,2035,330,21,551567868
83,Jabalpur,Urban,Tangent,315,11,Dry,Conductor_KM,208330,18,0.99,0.9,0.18,0.02,Low,High,2,0.15,157,8,38,38,25,33487263
84,Gwalior,Rural,Tangent,481,13,Winter,Insulators_Units,1160,27,0.97,0.9,0.21,0.05,Low,High,4,0.2,12775,496,1509,2622,20,15665171
85,Matheran,Hilly,Angle,1260,31,Monsoon,Steel_Tons,79680,61,0.87,0.99,0.25,0.1,High,Medium,9,0.3,4404,407,1261,262,22,364289025
86,Bhopal,Urban,Dead-End,763,14,Dry,Conductor_KM,216630,24,0.99,0.95,0.19,0.02,Medium,High,2,0.18,720,54,233,117,25,159985767
87,Ajmer,Rural,Angle,979,18,Dry,Insulators_Units,1250,31,0.95,0.95,0.22,0.05,Low,High,4,0.2,35515,1038,3978,4211,21,47100000
88,Almora,Hilly,Tangent,1062,27,Winter,Steel_Tons,75530,49,0.91,0.95,0.23,0.08,Medium,Medium,6,0.26,3756,236,913,237,22,295085096
89,Solapur,Urban,Angle,597,15,Dry,Conductor_KM,210820,21,0.97,0.9,0.18,0.03,Low,High,3,0.15,335,16,101,63,21,71838744
90,Orchha,Rural,Dead-End,1560,20,Winter,Insulators_Units,1328,35,0.94,0.99,0.24,0.05,Medium,High,4,0.21,91300,3739,8908,7842,18,126169213
91,Sonamarg,Hilly,Angle,1228,30,Winter,Steel_Tons,79000,58,0.88,0.99,0.25,0.1,High,Low,9,0.31,4296,400,1228,257,22,353624654
92,Gandhinagar,Urban,Tangent,232,9,Dry,Conductor_KM,207500,12,0.99,0.9,0.18,0.02,Low,High,2,0.14,113,4,18,32,29,24182050
93,Jhansi,Rural,Angle,929,17,Winter,Insulators_Units,1250,29,0.96,0.95,0.22,0.05,Low,High,4,0.2,33760,967,3665,4080,21,44771860
94,Gulmarg,Hilly,Dead-End,1477,35,Winter,Steel_Tons,81340,66,0.85,0.99,0.27,0.11,High,Low,10,0.34,6808,756,2180,341,21,577177000
95,Bhavnagar,Urban,Angle,564,14,Dry,Conductor_KM,210000,19,0.98,0.9,0.18,0.03,Low,High,3,0.15,316,15,84,61,22,67673220
96,Kota,Rural,Tangent,431,12,Dry,Insulators_Units,1160,25,0.97,0.9,0.21,0.05,Low,High,4,0.2,11350,420,1182,2477,21,14000000
97,Kasauli,Hilly,Tangent,1012,26,Winter,Steel_Tons,75000,46,0.92,0.95,0.2,0.08,Medium,Medium,7,0.25,3594,181,844,235,22,276442954
98,Ludhiana,Urban,Dead-End,730,13,Winter,Conductor_KM,215000,23,0.99,0.95,0.19,0.02,Medium,High,2,0.18,690,51,212,114,25,153550000
99,Jaisalmer,Rural,Angle,896,16,Winter,Insulators_Units,1250,28,0.96,0.95,0.22,0.05,Low,High,4,0.2,32590,929,3499,4011,21,43230135
100,Pelling,Hilly,Angle,1178,29,Monsoon,Steel_Tons,78020,56,0.89,0.99,0.25,0.1,High,Medium,8,0.31,4134,383,1166,252,22,340259000
101,Thane,Urban,Tangent,182,8,Monsoon,Conductor_KM,207500,10,0.99,0.9,0.18,0.04,Low,High,3,0.13,86,3,10,29,35,18470239
102,Sanchi,Rural,Dead-End,1394,18,Winter,Insulators_Units,1328,31,0.95,0.99,0.24,0.06,Medium,High,5,0.22,81800,3148,7674,7558,18,113653892
103,Matheran,Hilly,Tangent,979,25,Monsoon,Steel_Tons,73870,43,0.93,0.95,0.2,0.08,Medium,High,6,0.24,3486,165,785,232,23,265151385
104,Navi Mumbai,Urban,Angle,514,13,Monsoon,Conductor_KM,209160,17,0.98,0.9,0.18,0.03,Low,High,3,0.15,287,13,65,57,23,61184114
105,Gokarna,Rural,Angle,846,15,Monsoon,Insulators_Units,1250,26,0.96,0.95,0.22,0.05,Low,High,4,0.2,30835,844,3014,3902,21,40884310
106,Zuluk,Hilly,Dead-End,1344,32,Winter,Steel_Tons,79680,61,0.87,0.99,0.26,0.11,High,Low,9,0.33,6132,661,1822,318,21,509848250
107,Noida,Urban,Tangent,365,12,Dry,Conductor_KM,208330,20,0.99,0.9,0.18,0.02,Medium,High,2,0.17,183,9,51,43,24,39010166
108,Rishikesh,Rural,Tangent,531,14,Winter,Insulators_Units,1160,28,0.97,0.9,0.21,0.06,Low,High,4,0.21,14200,562,1871,2749,20,17313465
109,Spiti,Hilly,Angle,1095,28,Winter,Steel_Tons,76500,51,0.9,0.99,0.25,0.09,High,Low,8,0.3,3864,342,1048,245,22,312471800
110,Gurgaon,Urban,Dead-End,680,12,Dry,Conductor_KM,214140,21,0.99,0.95,0.19,0.02,Medium,High,2,0.17,645,45,159,109,26,142101063
111,Vrindavan,Rural,Angle,813,14,Winter,Insulators_Units,1250,25,0.96,0.95,0.22,0.05,Low,High,4,0.2,29665,800,2865,3827,22,39337850
112,Chopta,Hilly,Tangent,896,24,Winter,Steel_Tons,73040,40,0.94,0.95,0.2,0.07,Medium,Medium,5,0.23,3116,139,649,219,25,233803613
113,Faridabad,Urban,Angle,481,12,Dry,Conductor_KM,208330,15,0.98,0.9,0.18,0.02,Low,High,2,0.14,268,11,54,55,23,56912282
114,Ujjain,Rural,Dead-End,1311,17,Winter,Insulators_Units,1328,29,0.95,0.99,0.24,0.06,Medium,High,5,0.22,77050,2908,7094,7301,18,107040000
115,Auli,Hilly,Angle,1062,27,Winter,Steel_Tons,75530,49,0.91,0.99,0.25,0.08,High,Medium,7,0.29,3756,323,991,241,23,300146509
116,Ghaziabad,Urban,Tangent,257,10,Dry,Conductor_KM,207500,14,0.99,0.9,0.18,0.02,Low,High,2,0.14,126,5,23,34,28,26967364
117,Mathura,Rural,Angle,763,13,Winter,Insulators_Units,1250,24,0.96,0.95,0.22,0.05,Low,High,4,0.2,27910,741,2571,3713,22,37016423
118,Kufri,Hilly,Dead-End,1260,30,Winter,Steel_Tons,79000,59,0.88,0.99,0.26,0.1,High,Medium,9,0.32,5772,593,1657,305,21,473716856
119,Secunderabad,Urban,Dead-End,896,16,Dry,Conductor_KM,217460,26,0.98,0.95,0.19,0.02,High,High,3,0.18,840,65,310,127,24,187065000
120,Digha,Rural,Tangent,597,15,Monsoon,Insulators_Units,1160,30,0.97,0.9,0.21,0.06,Low,Medium,5,0.21,16100,642,2162,2941,20,19609082
121,Ravangla,Hilly,Tangent,1228,31,Monsoon,Steel_Tons,78020,59,0.89,0.95,0.24,0.1,Medium,Low,8,0.3,4296,336,1258,247,21,349100000
122,Meerut,Urban,Angle,779,18,Winter,Conductor_KM,215800,25,0.98,0.9,0.18,0.03,Low,High,3,0.16,441,23,165,74,21,95973820
123,Sarnath,Rural,Dead-End,1593,20,Winter,Insulators_Units,1328,35,0.94,0.99,0.24,0.05,Medium,High,4,0.21,93200,3817,9097,7925,17,128790582
124,Lava,Hilly,Angle,1444,34,Monsoon,Steel_Tons,80510,65,0.86,0.99,0.27,0.11,High,Low,10,0.33,5098,561,1542,284,21,439353611
125,Jalandhar,Urban,Tangent,448,14,Winter,Conductor_KM,210000,22,0.99,0.9,0.19,0.02,Medium,High,2,0.17,237,13,87,49,23,51133890
126,Bakkhali,Rural,Angle,1195,22,Monsoon,Insulators_Units,1250,36,0.94,0.95,0.22,0.06,Low,Medium,6,0.21,42120,1374,5836,4618,21,55814595
127,Turtuk,Hilly,Dead-End,1527,36,Winter,Steel_Tons,83000,72,0.82,0.99,0.28,0.12,High,Low,10,0.35,7024,801,2480,358,21,605500000
128,Bareilly,Urban,Angle,796,18,Winter,Conductor_KM,215800,25,0.98,0.9,0.18,0.03,Medium,High,2,0.16,460,24,172,76,21,100111197
129,Mandarmoni,Rural,Tangent,614,15,Monsoon,Insulators_Units,1160,30,0.97,0.9,0.21,0.06,Low,Medium,5,0.21,17575,699,2360,3055,20,21388436
130,Loleygaon,Hilly,Tangent,1112,28,Monsoon,Steel_Tons,76500,53,0.9,0.95,0.23,0.09,Medium,Low,7,0.28,3818,272,1006,238,22,303596000
131,Aligarh,Urban,Dead-End,863,16,Winter,Conductor_KM,217460,26,0.98,0.95,0.19,0.02,High,High,3,0.18,830,64,306,126,24,184802817
132,Chitrakoot,Rural,Angle,1112,21,Winter,Insulators_Units,1250,34,0.94,0.95,0.22,0.06,Low,High,5,0.21,39285,1251,5253,4448,21,52062495
133,Nubra Valley,Hilly,Angle,1361,32,Winter,Steel_Tons,80510,63,0.86,0.99,0.26,0.11,High,Low,10,0.32,4836,515,1427,277,22,409240300
134,Moradabad,Urban,Tangent,381,12,Winter,Conductor_KM,209160,20,0.99,0.9,0.19,0.02,Medium,High,2,0.17,192,10,54,44,24,41046903
135,Ayodhya,Rural,Dead-End,1676,21,Winter,Insulators_Units,1328,36,0.93,0.99,0.24,0.05,Medium,High,4,0.21,95950,3981,9911,7997,17,132563184
136,Pithoragarh,Hilly,Tangent,1195,30,Winter,Steel_Tons,78020,58,0.89,0.95,0.24,0.1,Medium,Medium,8,0.3,4188,327,1217,244,21,340417030
137,Saharanpur,Urban,Angle,697,17,Winter,Conductor_KM,214140,24,0.98,0.9,0.18,0.03,Medium,High,2,0.16,393,20,146,70,21,85388159
138,Bishnupur,Rural,Angle,1128,22,Monsoon,Insulators_Units,1250,35,0.94,0.95,0.22,0.06,Low,Medium,6,0.21,39780,1280,5415,4477,21,52722015
139,Chaukori,Hilly,Dead-End,1444,34,Winter,Steel_Tons,80510,64,0.86,0.99,0.27,0.11,High,Low,10,0.33,6664,719,2068,332,21,557891689
140,Firozabad,Urban,Tangent,298,10,Dry,Conductor_KM,208330,16,0.99,0.9,0.18,0.02,Low,High,2,0.15,148,7,32,37,26,31600000
141,Durgapur,Rural,Tangent,464,13,Monsoon,Insulators_Units,1160,26,0.97,0.9,0.21,0.05,Low,Medium,5,0.2,12300,469,1391,2571,20,15036695
142,Munsiyari,Hilly,Angle,1278,31,Winter,Steel_Tons,79680,62,0.87,0.99,0.25,0.1,High,Low,9,0.3,4458,414,1285,264,22,368881548
143,Rampur,Urban,Dead-End,779,14,Winter,Conductor_KM,216630,24,0.99,0.95,0.19,0.02,Medium,High,2,0.18,740,55,240,119,25,164776992
144,Shantiniketan,Rural,Angle,946,17,Monsoon,Insulators_Units,1250,29,0.96,0.95,0.22,0.05,Low,Medium,5,0.2,34345,984,3740,4138,21,45548515
145,Kausani,Hilly,Tangent,1045,26,Winter,Steel_Tons,75000,47,0.92,0.95,0.2,0.08,Medium,Medium,7,0.25,3702,189,885,238,22,284248710
146,Hathras,Urban,Angle,614,15,Dry,Conductor_KM,210820,21,0.97,0.9,0.18,0.03,Low,High,3,0.15,345,16,104,64,21,73998750
147,Gaur,Rural,Dead-End,1543,19,Monsoon,Insulators_Units,1328,33,0.94,0.99,0.24,0.05,Medium,Medium,6,0.21,90350,3555,8761,7796,17,124855500
148,Lohaghat,Hilly,Angle,1211,30,Winter,Steel_Tons,79000,58,0.88,0.99,0.25,0.1,High,Low,9,0.31,4242,395,1213,255,22,349322356
149,Bahadurgarh,Urban,Tangent,215,8,Dry,Conductor_KM,207500,10,0.99,0.9,0.18,0.02,Low,High,2,0.13,104,3,11,31,31,22200000
150,Mukteshwar,Rural,Angle,962,18,Winter,Insulators_Units,1250,30,0.96,0.95,0.22,0.05,Low,High,4,0.2,34930,1017,3917,4177,21,46333173
